case_id,input_format,title,description,log_text,severity,priority,component,exception_type,predicted_severity,predicted_priority,predicted_component,predicted_exception,severity_correct,priority_correct,component_correct,exception_correct,triage_confidence,log_confidence,execution_time_seconds,false_positive,false_negative
EVAL-01-01,structured_record,Production payment failure (Chrome),Production payment failure affects all users during checkout. Environment: Chrome.,"TypeError: cannot read property amount
    at charge (/srv/payment.js:31:9)",Critical,P0,Payment,TypeError,Critical,P0,Payment,TypeError,True,True,True,True,79,90,0.030065,False,False
EVAL-01-02,structured_record,Authentication outage (Chrome),Production outage: all users cannot login because token validation fails. Environment: Chrome.,"Traceback (most recent call last):
  File ""/app/auth.py"", line 8, in login
    user.id
AttributeError: missing user",Critical,P0,Authentication,AttributeError,Critical,P0,Authentication,AttributeError,True,True,True,True,85,90,0.006382,False,False
EVAL-01-03,structured_record,Data corruption (Chrome),Data corruption and data loss reported in production database. Environment: Chrome.,"java.sql.SQLException: transaction aborted
	at com.acme.db.Store.save(Store.java:72)",Critical,P0,Database,SQLException,Critical,P0,Database,SQLException,True,True,True,True,85,90,0.00603,False,False
EVAL-01-04,structured_record,Security breach (Chrome),Security vulnerability permits unauthorized access and potential breach. Environment: Chrome.,SecurityError: access policy bypass detected,Critical,P0,Security,SecurityError,Critical,P0,Security,SecurityError,True,True,True,True,85,72,0.005099,False,False
EVAL-01-05,structured_record,Application crash (Chrome),Application crash occurs when backend worker starts. Environment: Chrome.,"Traceback (most recent call last):
  File ""/app/worker.py"", line 20, in start
    run()
RuntimeError: worker failed",Critical,P1,Backend,RuntimeError,Critical,P1,Backend,RuntimeError,True,True,True,True,79,90,0.00703,False,False
EVAL-01-06,structured_record,API unavailable (Chrome),Repeated API failure and service unavailable blocks users from completing workflow. Environment: Chrome.,"java.io.IOException: upstream unavailable
	at com.acme.api.Client.call(Client.java:44)",High,P1,REST API,IOException,High,P1,REST API,IOException,True,True,True,True,85,90,0.005344,False,False
EVAL-01-07,structured_record,Database unavailable (Chrome),Database unavailable because the SQL connection pool is exhausted. Environment: Chrome.,"java.sql.SQLException: connection refused
	at com.acme.db.Pool.open(Pool.java:19)",High,P1,Database,SQLException,High,P1,Database,SQLException,True,True,True,True,91,90,0.005383,False,False
EVAL-01-08,structured_record,Slow search (Chrome),Significant performance degradation makes search unusable. Environment: Chrome.,TimeoutError: search exceeded deadline,High,P1,Performance,TimeoutError,High,P1,Performance,TimeoutError,True,True,True,True,85,72,0.004289,False,False
EVAL-01-09,structured_record,Validation problem (Chrome),Backend service validation issue causes the form to be partially working. Environment: Chrome.,"Traceback (most recent call last):
  File ""/app/forms.py"", line 14, in validate
    int(value)
ValueError: invalid literal",Medium,P2,Backend,ValueError,Medium,P2,Backend,ValueError,True,True,True,True,85,90,0.006575,False,False
EVAL-01-10,structured_record,Intermittent notification (Chrome),Occasional notification email failures affect some users. Environment: Chrome.,"Error: smtp rejected message
    at send (/srv/notification.js:12:4)",Medium,P2,Notifications,Error,Medium,P2,Notifications,Error,True,True,True,True,85,90,0.004737,False,False
