Issue id,Summary,Status,Priority,Resolution,Description
223706,"Configure unassigned keybindings, command name incorrect",,,,- Place cursor in the panel chat - Open the accessibility help - Click on the icon `Accessibility Help Configure Unassigned Keybindings` - The command list does not contain actual command names https://github.com/user-attachments/assets/73b8b4da-2bdf-4664-9d47-7c7d2bde73a0
223658,Some suggestions are missing on Windows with pwsh,,,completed,I was trying to verify https://github.com/microsoft/vscode/issues/222233. 1. Open VS Code window 2. In pwsh terminal `.\sc` 3. I expect to see a suggestion for the `.\scripts\` folder ![Image](https://github.com/user-attachments/assets/7b8edb63-4142-4ec3-abf6-d54bdde11c39)
223641,Cannot split a terminal without a group [object Object],,,,![image](https://github.com/user-attachments/assets/598c7593-039d-4d0e-a7cb-998cc083b183) https://github.com/microsoft/vscode/blob/b4eb7c94495e25b5dc968a4d3a723346e27f48a3/src/vs/workbench/contrib/terminal/browser/terminalService.ts#L1084
223622,SCM - history graph handling of first commit in the repository,,,,- [ ] Show the first commit in the repository when it's the only one - [ ] Show the contents of the first commit (single select/multi select)
223607,SCM - history graph using incorrect color,,,completed,![Image](https://github.com/user-attachments/assets/1e923983-afbe-46c9-88d4-e7470f8ad9a2)
223601,SCM - the refresh action does not refresh the history graph,,,completed,"Steps to Reproduce: 1. Open a folder/workspace that contains a git repository 2. Create some commits so that you have some outgoing changes in the history graph 3. Open the output window, switch to the Git output channel, and clear the contents 4. Click the ""Refresh"" action in the ""Source Control"" viewlet 5. You should see a `git log` entry int the output channel"
223582,issue reporter dropdown is too large,,,,"> Type: Bug > > 1. Open Help > Report Issue > > The dropdowns are too large.... also make sure `""issueReporter.experimental.auxWindow"": true` the issue with the dropdown seems related to the aux window service. looks like in all zoom levels, it is at `current zoom level + 1` might consider switching to the custom dropdowns (like we have in settings). _Originally posted by @kieferrm in https://github.com/microsoft/vscode/issues/223506_"
223571,Terminal displays UTF graphemes 👩‍🚒 as 👩<200d>🚒,,,,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ --> <!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ --> <!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions --> <!-- 🔎 Search existing issues to avoid creating duplicates. --> <!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ --> <!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. --> <!-- 🔧 Launch with `code --disable-extensions` to check. --> Does this issue occur when all extensions are disabled?: Yes <!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. --> <!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. --> - VS Code Version: Version: 1.91.1 Commit: f1e16e1e6214d7c44d078b1f0607b2388f29d729 Date: 2024-07-09T22:07:54.982Z Electron: 29.4.0 ElectronBuildId: 9728852 Chromium: 122.0.6261.156 Node.js: 20.9.0 V"
223564,Accessible view doesn't navigate well over empty runCommand responses,,,,"Noticed while verifing https://github.com/microsoft/vscode/issues/221497 ![Image](https://github.com/user-attachments/assets/69733cf8-359c-4e98-aee3-9bf234d2c3a8) When I get to the runCommand response, I have to click twice to navigate past it."
223550,"[Testing] Only create test log entry when createTestRun is invoked, do not create one automatically.",,,,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ --> <!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ --> <!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions --> <!-- 🔎 Search existing issues to avoid creating duplicates. --> <!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ --> <!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. --> <!-- 🔧 Launch with `code --disable-extensions` to check. --> Does this issue occur when all extensions are disabled?: No <!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. --> <!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. --> - VS Code Version: 1.92 - OS Version: all Multiple (2) ""Test run"" history entries are created per single `createTestRun` invocation. This is a request to complete (1) from https://github.com/microsoft"
